task_id,family,condition,strict,normalized,mean_tokens,mean_seconds
T01,ledger,single,2,2,1420.5,3.112070595030673
T01,ledger,sequential,2,2,4302.0,9.11505548201967
T01,ledger,parallel,2,2,4364.5,5.170593136514071
T01,ledger,hierarchical,2,2,5609.0,7.738642455951776
T01,ledger,reflexive,2,2,2853.0,4.866211797983851
T01,ledger,sage,2,2,1384.0,4.313770326552913
T01,ledger,hierarchical_all_skills,2,2,9799.5,8.382497357961256
T01,ledger,sage_single,2,2,1395.5,3.8585901755141094
T01,ledger,sage_all_skills,2,2,2395.5,3.6519390275352634
T02,ledger,single,2,2,1427.5,3.5225115979555994
T02,ledger,sequential,2,2,4358.5,10.223540310980752
T02,ledger,parallel,2,2,4392.0,5.7191697269445285
T02,ledger,hierarchical,2,2,5787.5,8.745820123003796
T02,ledger,reflexive,2,2,2855.0,6.029681745974813
T02,ledger,sage,1,1,1384.0,4.038034509459976
T02,ledger,hierarchical_all_skills,2,2,9869.5,8.07344650302548
T02,ledger,sage_single,2,2,1392.5,4.2184242635266855
T02,ledger,sage_all_skills,2,2,2401.0,4.35454715898959
T03,schedule,single,1,1,965.0,3.533066587988287
T03,schedule,sequential,2,2,2987.0,13.783748000045307
T03,schedule,parallel,2,2,3029.5,8.224667959962972
T03,schedule,hierarchical,1,1,4066.5,13.124339873960707
T03,schedule,reflexive,2,2,3553.0,16.751321721007116
T03,schedule,sage,2,2,896.0,4.506912154494785
T03,schedule,hierarchical_all_skills,0,0,8192.0,11.832741139514837
T03,schedule,sage_single,2,2,907.0,4.772447524999734
T03,schedule,sage_all_skills,2,2,2043.0,6.980892963008955
T04,schedule,single,2,2,963.5,4.485620604478754
T04,schedule,sequential,2,2,2847.5,11.799175943015143
T04,schedule,parallel,2,2,2935.5,7.648263529525138
T04,schedule,hierarchical,1,1,4069.5,12.309357959020417
T04,schedule,reflexive,2,2,3654.0,17.807321419997606
T04,schedule,sage,2,2,906.0,4.493298265559133
T04,schedule,hierarchical_all_skills,2,2,7927.0,11.231090105546173
T04,schedule,sage_single,2,2,891.5,4.522433378500864
T04,schedule,sage_all_skills,1,1,1931.5,5.064910604967736
T05,dependencies,single,2,2,866.0,2.683359663002193
T05,dependencies,sequential,2,2,2794.0,10.68483122246107
T05,dependencies,parallel,0,0,2775.0,5.9162298970040865
T05,dependencies,hierarchical,2,2,3619.5,8.491166033025365
T05,dependencies,reflexive,2,2,1744.0,5.159559814026579
T05,dependencies,sage,2,2,2123.5,5.843594099453185
T05,dependencies,hierarchical_all_skills,2,2,7563.0,7.580803963530343
T05,dependencies,sage_single,1,1,831.5,3.9534978740266524
T05,dependencies,sage_all_skills,2,2,4768.5,6.532965715916362
T06,dependencies,single,2,2,850.5,2.7126555090071633
T06,dependencies,sequential,2,2,2770.5,10.06404491205467
T06,dependencies,parallel,2,2,2655.5,4.756534376007039
T06,dependencies,hierarchical,2,2,3502.0,7.3890666760271415
T06,dependencies,reflexive,2,2,1754.0,5.464418013463728
T06,dependencies,sage,2,2,1602.0,4.043715203530155
T06,dependencies,hierarchical_all_skills,2,2,7577.0,8.334944002970587
T06,dependencies,sage_single,2,2,808.5,3.399675940454472
T06,dependencies,sage_all_skills,2,2,3720.5,5.433705673494842
T07,selection,single,2,2,1463.5,8.671931072021835
T07,selection,sequential,2,2,3315.5,17.5794289369951
T07,selection,parallel,2,2,3724.0,10.69733905600151
T07,selection,hierarchical,2,2,4485.0,14.507734187529422
T07,selection,reflexive,2,2,2313.5,10.771228944475297
T07,selection,sage,2,2,2738.5,12.570392145426013
T07,selection,hierarchical_all_skills,2,2,8561.0,13.459957310988102
T07,selection,sage_single,2,2,1198.0,9.204798404534813
T07,selection,sage_all_skills,2,2,4494.0,10.363031747983769
T08,selection,single,2,2,1472.0,10.683405338029843
T08,selection,sequential,2,2,3629.0,23.4451801450341
T08,selection,parallel,2,2,4170.0,15.93929200596176
T08,selection,hierarchical,2,2,5273.5,22.87291122204624
T08,selection,reflexive,2,2,2973.5,20.296542471915018
T08,selection,sage,2,2,4337.0,24.02483484201366
T08,selection,hierarchical_all_skills,2,2,9392.5,20.404687132977415
T08,selection,sage_single,2,2,1683.0,17.749528430518694
T08,selection,sage_all_skills,2,2,4752.5,14.381940833933186
T09,memory,single,2,2,1210.5,2.7459591389633715
T09,memory,sequential,2,2,3653.5,8.20056761696469
T09,memory,parallel,2,2,3698.0,4.997774752439
T09,memory,hierarchical,2,2,4949.0,8.974907784082461
T09,memory,reflexive,2,2,2458.5,8.654511403525248
T09,memory,sage,2,2,1152.5,3.5926072059664875
T09,memory,hierarchical_all_skills,2,2,9021.0,6.991359612438828
T09,memory,sage_single,2,2,1183.5,3.931593386514578
T09,memory,sage_all_skills,2,2,2181.5,3.947520885965787
T10,memory,single,2,2,1157.0,2.8133908809395507
T10,memory,sequential,2,2,3475.5,8.39629765698919
T10,memory,parallel,2,2,3625.5,5.27607228391571
T10,memory,hierarchical,2,2,4785.5,6.686587717966177
T10,memory,reflexive,2,2,2341.0,4.729074358998332
T10,memory,sage,2,2,1128.0,3.3600218519568443
T10,memory,hierarchical_all_skills,2,2,8853.0,7.294456536474172
T10,memory,sage_single,2,2,1087.5,2.7782053189584985
T10,memory,sage_all_skills,2,2,2101.0,3.1436234994907863
T11,sql,single,0,2,786.5,2.514569764956832
T11,sql,sequential,0,2,2892.5,12.03849370003445
T11,sql,parallel,1,2,2973.0,6.185540559468791
T11,sql,hierarchical,0,2,3922.0,11.424005225067958
T11,sql,reflexive,0,2,1851.5,7.018729932082351
T11,sql,sage,2,2,1381.5,6.924488730495796
T11,sql,hierarchical_all_skills,1,2,7846.0,10.333349822962191
T11,sql,sage_single,1,1,862.0,4.930150355445221
T11,sql,sage_all_skills,2,2,1861.5,5.579208772513084
T12,sql,single,0,2,1336.5,7.94840006303275
T12,sql,sequential,0,2,3096.0,14.314983613498043
T12,sql,parallel,0,2,3423.5,11.785894514527172
T12,sql,hierarchical,0,2,4316.0,11.311603281472344
T12,sql,reflexive,0,2,1977.5,6.95224275853252
T12,sql,sage,2,2,2148.0,10.421051613986492
T12,sql,hierarchical_all_skills,1,2,8329.0,13.515920068544801
T12,sql,sage_single,1,1,1075.5,7.785375715058763
T12,sql,sage_all_skills,1,1,2947.0,7.157798181520775
