a,b,metric,difference,ci_low,ci_high
sage,single,success_pp,16.666666666666686,-4.166666666666674,41.666666666666664
sage,single,normalized_success_pp,0.0,-12.5,12.5
sage,single,tokens,605.1666666666665,183.53854166666673,1132.3822916666668
sage,single,seconds,2.7254816777907154,1.1954713275897424,4.965179642082389
sage,single,token_change_percent,52.17328831094186,15.87060833623406,95.3194482384977
sage,sequential,success_pp,12.5,-8.333333333333337,37.5
sage,sequential,normalized_success_pp,-4.166666666666657,-12.5,0.0
sage,sequential,tokens,-1578.3750000000002,-2146.485416666667,-966.0375000000004
sage,sequential,seconds,-5.126052215933063,-6.287047470009323,-3.7683578417398786
sage,sequential,token_change_percent,-47.207856136983914,-61.53176800902141,-29.523601816098218
sage,parallel,success_pp,16.666666666666686,-4.166666666666674,41.66666666666667
sage,parallel,normalized_success_pp,4.166666666666686,-12.5,25.0
sage,parallel,tokens,-1715.4166666666667,-2235.5875,-1174.7739583333334
sage,parallel,seconds,-0.34872090411469525,-1.7329319369084253,1.5184136687067296
sage,parallel,token_change_percent,-49.28650098165972,-62.33999277047752,-33.81980868042596
sage,hierarchical,success_pp,20.833333333333343,-4.1666666666666625,45.833333333333336
sage,hierarchical,normalized_success_pp,4.166666666666686,-8.333333333333337,16.666666666666675
sage,hierarchical,tokens,-2767.0,-3377.883333333333,-2158.0291666666667
sage,hierarchical,seconds,-3.7869517991881967,-5.25279925995601,-2.30142242817977
sage,hierarchical,token_change_percent,-61.05359933805276,-71.4303143944283,-48.536352309606784
sage,reflexive,success_pp,12.5,-8.333333333333337,37.5
sage,reflexive,normalized_success_pp,-4.166666666666657,-12.5,0.0
sage,reflexive,tokens,-762.2916666666667,-1445.8041666666668,-81.65312500000005
sage,reflexive,seconds,-2.1973436194239184,-5.332593951599968,0.49507337181579
sage,reflexive,token_change_percent,-30.161399343851492,-51.77709688472852,-3.4838137854782647
sage,hierarchical_all_skills,success_pp,12.5,-8.333333333333325,33.333333333333336
sage,hierarchical_all_skills,normalized_success_pp,4.166666666666686,-12.5,25.0
sage,hierarchical_all_skills,tokens,-6812.458333333333,-7444.888541666667,-6196.1864583333345
sage,hierarchical_all_skills,seconds,-3.2752110506698955,-4.662804866879135,-1.592139180937616
sage,hierarchical_all_skills,token_change_percent,-79.42203719985815,-84.76737752844842,-72.81044999692232
sage,sage_single,success_pp,8.333333333333343,-8.333333333333337,25.0
sage,sage_single,normalized_success_pp,8.333333333333343,-8.333333333333337,25.0
sage,sage_single,tokens,655.4166666666665,233.1500000000001,1153.2791666666665
sage,sage_single,seconds,1.4190000150701962,0.46377721380243536,2.5752856934581354
sage,sage_single,token_change_percent,59.06428356863922,21.309563483589834,98.96442805750831
sage,sage_all_skills,success_pp,4.166666666666686,-8.333333333333337,16.666666666666675
sage,sage_all_skills,normalized_success_pp,4.166666666666686,-8.333333333333337,16.666666666666675
sage,sage_all_skills,tokens,-1201.3750000000002,-1584.2958333333333,-872.409375
sage,sage_all_skills,seconds,0.9617196569646085,-0.4860855194755762,2.9381003251823126
sage,sage_all_skills,token_change_percent,-40.49863052180631,-49.715040884977995,-29.60090785271526
hierarchical_all_skills,hierarchical,success_pp,8.333333333333343,-8.333333333333325,25.0
hierarchical_all_skills,hierarchical,normalized_success_pp,0.0,-12.5,12.5
hierarchical_all_skills,hierarchical,tokens,4045.458333333333,3992.3312499999997,4094.917708333333
hierarchical_all_skills,hierarchical,seconds,-0.5117407485183012,-1.211125574163816,0.25107925867947994
hierarchical_all_skills,hierarchical,token_change_percent,89.2626643375931,82.22807215994472,97.07734485785458
