run_id,task_id,family,condition,trial,success,normalized_success,wall_seconds,calls,error,accounting_complete,input_tokens,output_tokens,total_tokens,cached_input_tokens,reasoning_tokens
T10-r2-reflexive,T10,memory,reflexive,2,True,True,4.914308806997724,2,,True,2033,292,2325,0,238
T10-r2-sage,T10,memory,sage,2,True,True,3.1652190829627216,1,,True,932,162,1094,0,118
T10-r2-parallel,T10,memory,parallel,2,True,True,4.474507691920735,3,,True,3050,475,3525,0,364
T10-r2-sequential,T10,memory,sequential,2,True,True,9.928211982012726,3,,True,3035,433,3468,0,322
T10-r2-sage_all_skills,T10,memory,sage_all_skills,2,True,True,3.3817436930257827,1,,True,1947,157,2104,0,113
T10-r2-hierarchical_all_skills,T10,memory,hierarchical_all_skills,2,True,True,7.504919674945995,4,,True,8281,619,8900,0,412
T10-r2-hierarchical,T10,memory,hierarchical,2,True,True,7.200791609939188,4,,True,4217,556,4773,0,351
T10-r2-single,T10,memory,single,2,True,True,2.448451076983474,1,,True,978,163,1141,0,126
T10-r2-sage_single,T10,memory,sage_single,2,True,True,2.9953350899741054,1,,True,932,172,1104,0,128
T08-r1-sage_all_skills,T08,selection,sage_all_skills,1,True,True,17.728874524938874,2,,True,3301,1430,4731,0,1348
T08-r1-hierarchical_all_skills,T08,selection,hierarchical_all_skills,1,True,True,23.58938074891921,4,,True,7117,2445,9562,0,2251
T08-r1-single,T08,selection,single,1,True,True,14.657698106020689,1,,True,685,1025,1710,0,992
T08-r1-parallel,T08,selection,parallel,1,True,True,18.547585574910045,3,,True,2165,1906,4071,0,1807
T08-r1-sage_single,T08,selection,sage_single,1,True,True,14.891816752031446,1,,True,639,869,1508,0,828
T08-r1-reflexive,T08,selection,reflexive,1,True,True,20.743926961906254,2,,True,1443,1416,2859,0,1366
T08-r1-sequential,T08,selection,sequential,1,True,True,23.570526640978642,3,,True,2150,1343,3493,0,1244
T08-r1-sage,T08,selection,sage,1,True,True,29.492661169962958,3,,True,2016,2625,4641,0,2510
T08-r1-hierarchical,T08,selection,hierarchical,1,True,True,27.14569769811351,4,,True,3037,2469,5506,0,2277
T02-r1-sage_all_skills,T02,ledger,sage_all_skills,1,True,True,4.808516811928712,1,,True,2098,319,2417,0,263
T02-r1-sequential,T02,ledger,sequential,1,True,True,11.33770360192284,3,,True,3521,811,4332,0,667
T02-r1-sage,T02,ledger,sage,1,False,False,4.170288895955309,1,,True,1086,285,1371,0,229
T02-r1-single,T02,ledger,single,1,True,True,4.138754128944129,1,,True,1132,291,1423,0,243
T02-r1-reflexive,T02,ledger,reflexive,1,True,True,7.359738567029126,2,,True,2352,524,2876,0,459
T02-r1-hierarchical,T02,ledger,hierarchical,1,True,True,8.450663981027901,4,,True,4855,927,5782,0,690
T02-r1-hierarchical_all_skills,T02,ledger,hierarchical_all_skills,1,True,True,8.435271369991824,4,,True,8925,938,9863,0,690
T02-r1-sage_single,T02,ledger,sage_single,1,True,True,3.8234041309915483,1,,True,1086,290,1376,1083,234
T02-r1-parallel,T02,ledger,parallel,1,True,True,5.999817965901457,3,,True,3536,853,4389,0,709
T05-r2-hierarchical,T05,dependencies,hierarchical,2,True,True,8.354320598067716,4,,True,2803,796,3599,0,475
T05-r2-reflexive,T05,dependencies,reflexive,2,True,True,5.201682526036166,2,,True,1335,434,1769,0,338
T05-r2-sequential,T05,dependencies,sequential,2,True,True,10.442559896968305,3,,True,2011,747,2758,0,510
T05-r2-single,T05,dependencies,single,2,True,True,3.370319066918455,1,,True,608,254,862,0,175
T05-r2-sage_all_skills,T05,dependencies,sage_all_skills,2,True,True,8.36781790992245,3,,True,4936,811,5747,0,558
T05-r2-parallel,T05,dependencies,parallel,2,False,False,6.006439986987971,3,,True,2026,721,2747,0,484
T05-r2-sage,T05,dependencies,sage,2,True,True,4.74109928694088,2,,True,1109,505,1614,0,331
T05-r2-sage_single,T05,dependencies,sage_single,2,False,False,3.9275869079865515,1,,True,562,273,835,0,186
T05-r2-hierarchical_all_skills,T05,dependencies,hierarchical_all_skills,2,True,True,8.457448613015004,4,,True,6875,777,7652,0,460
T01-r2-sage_single,T01,ledger,sage_single,2,True,True,4.627577097970061,1,,True,1090,327,1417,0,271
T01-r2-parallel,T01,ledger,parallel,2,True,True,4.752845951006748,3,,True,3548,739,4287,0,595
T01-r2-reflexive,T01,ledger,reflexive,2,True,True,5.066471047932282,2,,True,2360,498,2858,0,433
T01-r2-hierarchical,T01,ledger,hierarchical,2,True,True,8.895246604923159,4,,True,4855,730,5585,0,501
T01-r2-sage,T01,ledger,sage,2,True,True,3.9787356230663136,1,,True,1090,305,1395,1087,249
T01-r2-single,T01,ledger,single,2,True,True,3.2201660900609568,1,,True,1136,283,1419,0,235
T01-r2-hierarchical_all_skills,T01,ledger,hierarchical_all_skills,2,True,True,9.230447252979502,4,,True,8941,859,9800,0,611
T01-r2-sequential,T01,ledger,sequential,2,True,True,9.904446094995365,3,,True,3533,795,4328,0,651
T01-r2-sage_all_skills,T01,ledger,sage_all_skills,2,True,True,3.551519346074201,1,,True,2102,298,2400,0,242
T04-r2-sequential,T04,schedule,sequential,2,True,True,11.860330597031862,3,,True,1848,968,2816,0,890
T04-r2-single,T04,schedule,single,2,True,True,3.926750370999798,1,,True,589,358,947,0,332
T04-r2-hierarchical,T04,schedule,hierarchical,2,True,True,10.529382598004304,4,,True,2673,1167,3840,0,979
T04-r2-hierarchical_all_skills,T04,schedule,hierarchical_all_skills,2,True,True,10.734565895050764,4,,True,6701,1267,7968,0,1089
T04-r2-sage_all_skills,T04,schedule,sage_all_skills,2,False,False,4.392335548996925,1,,True,1555,359,1914,0,325
T04-r2-sage,T04,schedule,sage,2,True,True,4.365740594104864,1,,True,543,366,909,0,332
T04-r2-parallel,T04,schedule,parallel,2,True,True,7.43989636702463,3,,True,1863,1082,2945,0,1004
T04-r2-sage_single,T04,schedule,sage_single,2,True,True,4.339954447001219,1,,True,543,331,874,0,297
T04-r2-reflexive,T04,schedule,reflexive,2,True,True,10.27431778900791,2,,True,1244,714,1958,0,671
T06-r2-hierarchical,T06,dependencies,hierarchical,2,True,True,7.372976053040475,4,,True,2787,694,3481,0,395
T06-r2-sage,T06,dependencies,sage,2,True,True,4.5807894699973986,2,,True,1117,497,1614,0,327
T06-r2-reflexive,T06,dependencies,reflexive,2,True,True,6.113538414938375,2,,True,1341,422,1763,0,328
T06-r2-parallel,T06,dependencies,parallel,2,True,True,5.5356469539692625,3,,True,2034,683,2717,0,452
T06-r2-single,T06,dependencies,single,2,True,True,2.9198153640609235,1,,True,612,237,849,0,160
T06-r2-sage_single,T06,dependencies,sage_single,2,True,True,3.2059748489409685,1,,True,566,232,798,0,147
T06-r2-sequential,T06,dependencies,sequential,2,True,True,10.282695265021175,3,,True,2069,662,2731,0,380
T06-r2-hierarchical_all_skills,T06,dependencies,hierarchical_all_skills,2,True,True,8.631218369002454,4,,True,6861,750,7611,0,450
T06-r2-sage_all_skills,T06,dependencies,sage_all_skills,2,True,True,5.783056373009458,2,,True,3155,588,3743,0,418
T04-r1-single,T04,schedule,single,1,True,True,5.04449083795771,1,,True,589,391,980,0,365
T04-r1-sequential,T04,schedule,sequential,1,True,True,11.738021288998425,3,,True,1848,1031,2879,0,953
T04-r1-hierarchical,T04,schedule,hierarchical,1,False,False,14.08933332003653,4,,True,2727,1572,4299,0,1304
T04-r1-reflexive,T04,schedule,reflexive,1,True,True,25.340325050987303,5,,True,3275,2075,5350,0,1859
T04-r1-parallel,T04,schedule,parallel,1,True,True,7.856630692025647,3,,True,1863,1063,2926,0,985
T04-r1-sage_single,T04,schedule,sage_single,1,True,True,4.704912310000509,1,,True,543,366,909,0,332
T04-r1-hierarchical_all_skills,T04,schedule,hierarchical_all_skills,1,True,True,11.727614316041581,4,,True,6691,1195,7886,1630,1022
T04-r1-sage_all_skills,T04,schedule,sage_all_skills,1,True,True,5.737485660938546,1,,True,1555,394,1949,1552,360
T04-r1-sage,T04,schedule,sage,1,True,True,4.620855937013403,1,,True,543,360,903,0,326
T12-r2-parallel,T12,sql,parallel,2,False,True,11.204828910063952,3,,True,2030,1363,3393,0,735
T12-r2-hierarchical_all_skills,T12,sql,hierarchical_all_skills,2,False,True,14.66134673601482,4,,True,6848,1392,8240,0,588
T12-r2-single,T12,sql,single,2,False,True,7.6674851110437885,1,,True,518,669,1187,0,426
T12-r2-sage,T12,sql,sage,2,True,True,11.068024931941181,2,,True,1238,962,2200,0,459
T12-r2-sequential,T12,sql,sequential,2,False,True,15.578107382985763,3,,True,2041,1138,3179,0,442
T12-r2-hierarchical,T12,sql,hierarchical,2,False,True,10.969929388957098,4,,True,2829,1405,4234,0,539
T12-r2-sage_all_skills,T12,sql,sage_all_skills,2,False,False,5.434515496017411,1,,True,1477,418,1895,0,179
T12-r2-reflexive,T12,sql,reflexive,2,False,True,7.062172285048291,2,,True,1321,663,1984,0,401
T12-r2-sage_single,T12,sql,sage_single,2,True,True,9.309656201046892,1,,True,472,721,1193,0,511
T03-r1-sequential,T03,schedule,sequential,1,True,True,14.674083634046838,3,,True,1848,1134,2982,0,1056
T03-r1-hierarchical,T03,schedule,hierarchical,1,True,True,11.986642134957947,4,,True,2667,1324,3991,0,1139
T03-r1-sage,T03,schedule,sage,1,True,True,4.885545691009611,1,,True,543,366,909,0,332
T03-r1-parallel,T03,schedule,parallel,1,True,True,7.8323003590339795,3,,True,1863,1199,3062,0,1121
T03-r1-sage_single,T03,schedule,sage_single,1,True,True,4.524009105982259,1,,True,543,344,887,0,310
T03-r1-reflexive,T03,schedule,reflexive,1,True,True,7.266342345974408,2,,True,1244,649,1893,0,606
T03-r1-single,T03,schedule,single,1,False,False,3.111933398991823,1,,True,589,321,910,0,295
T03-r1-hierarchical_all_skills,T03,schedule,hierarchical_all_skills,1,False,False,12.883859239984304,4,,True,6693,1617,8310,0,1443
T03-r1-sage_all_skills,T03,schedule,sage_all_skills,1,True,True,6.78096291096881,1,,True,1555,496,2051,0,462
T06-r1-sage_all_skills,T06,dependencies,sage_all_skills,1,True,True,5.084354973980226,2,,True,3155,543,3698,3149,373
T06-r1-hierarchical_all_skills,T06,dependencies,hierarchical_all_skills,1,True,True,8.038669636938721,4,,True,6899,644,7543,1660,327
T06-r1-parallel,T06,dependencies,parallel,1,True,True,3.9774217980448157,3,,True,2034,560,2594,0,331
T06-r1-sage_single,T06,dependencies,sage_single,1,True,True,3.593377031967975,1,,True,566,253,819,0,168
T06-r1-reflexive,T06,dependencies,reflexive,1,True,True,4.815297611989081,2,,True,1341,404,1745,0,310
T06-r1-single,T06,dependencies,single,1,True,True,2.5054956539534032,1,,True,612,240,852,0,163
T06-r1-hierarchical,T06,dependencies,hierarchical,1,True,True,7.405157299013808,4,,True,2809,714,3523,0,402
T06-r1-sage,T06,dependencies,sage,1,True,True,3.5066409370629117,2,,True,1117,473,1590,0,303
T06-r1-sequential,T06,dependencies,sequential,1,True,True,9.845394559088163,3,,True,2106,704,2810,0,385
T11-r2-sage_all_skills,T11,sql,sage_all_skills,2,True,True,5.9047899229917675,1,,True,1468,416,1884,0,227
T11-r2-hierarchical_all_skills,T11,sql,hierarchical_all_skills,2,True,True,11.00871563097462,4,,True,6699,1205,7904,0,523
T11-r2-sage,T11,sql,sage,2,True,True,4.384074431960471,1,,True,463,359,822,0,167
T11-r2-sequential,T11,sql,sequential,2,False,True,14.1232668539742,3,,True,2053,898,2951,0,205
T11-r2-reflexive,T11,sql,reflexive,2,False,True,8.320201519061811,2,,True,1263,712,1975,0,490
T11-r2-single,T11,sql,single,2,False,True,2.3362950729206204,1,,True,509,283,792,0,112
T11-r2-parallel,T11,sql,parallel,2,True,True,6.985346911940724,3,,True,1993,1077,3070,0,419
T11-r2-sage_single,T11,sql,sage_single,2,True,True,5.428263309993781,1,,True,463,454,917,0,241
T11-r2-hierarchical,T11,sql,hierarchical,2,False,True,10.349445522064343,4,,True,2720,1241,3961,0,457
T05-r1-parallel,T05,dependencies,parallel,1,False,False,5.826019807020202,3,,True,2026,777,2803,0,540
T05-r1-hierarchical_all_skills,T05,dependencies,hierarchical_all_skills,1,True,True,6.7041593140456825,4,,True,6843,631,7474,1656,332
T05-r1-sequential,T05,dependencies,sequential,1,True,True,10.927102547953837,3,,True,2011,819,2830,0,582
T05-r1-single,T05,dependencies,single,1,True,True,1.9964002590859309,1,,True,608,262,870,0,183
T05-r1-hierarchical,T05,dependencies,hierarchical,1,True,True,8.628011467983015,4,,True,2779,861,3640,0,552
T05-r1-sage_single,T05,dependencies,sage_single,1,True,True,3.9794088400667533,1,,True,562,266,828,0,179
T05-r1-sage,T05,dependencies,sage,1,True,True,6.946088911965489,3,,True,1879,754,2633,0,501
T05-r1-reflexive,T05,dependencies,reflexive,1,True,True,5.117437102016993,2,,True,1335,384,1719,0,288
T05-r1-sage_all_skills,T05,dependencies,sage_all_skills,1,True,True,4.6981135219102725,2,,True,3147,643,3790,3141,469
T11-r1-sage_single,T11,sql,sage_single,1,False,False,4.432037400896661,1,,True,463,344,807,0,163
T11-r1-hierarchical,T11,sql,hierarchical,1,False,True,12.498564928071573,4,,True,2646,1237,3883,0,568
T11-r1-hierarchical_all_skills,T11,sql,hierarchical_all_skills,1,False,True,9.657984014949761,4,,True,6699,1089,7788,1543,399
T11-r1-parallel,T11,sql,parallel,1,False,True,5.385734206996858,3,,True,1946,930,2876,0,385
T11-r1-reflexive,T11,sql,reflexive,1,False,True,5.717258345102891,2,,True,1259,469,1728,0,251
T11-r1-sage_all_skills,T11,sql,sage_all_skills,1,True,True,5.253627622034401,1,,True,1468,371,1839,1465,180
T11-r1-sage,T11,sql,sage,1,True,True,9.46490302903112,2,,True,1220,721,1941,0,219
T11-r1-single,T11,sql,single,1,False,True,2.6928444569930434,1,,True,509,272,781,0,84
T11-r1-sequential,T11,sql,sequential,1,False,True,9.9537205460947,3,,True,1968,866,2834,0,245
T09-r1-hierarchical_all_skills,T09,memory,hierarchical_all_skills,1,True,True,6.77414414496161,4,,True,8313,684,8997,0,395
T09-r1-sequential,T09,memory,sequential,1,True,True,9.0755817060126,3,,True,3053,608,3661,0,425
T09-r1-reflexive,T09,memory,reflexive,1,True,True,12.346495041041635,2,,True,2037,431,2468,0,353
T09-r1-sage,T09,memory,sage,1,True,True,3.5571120230015367,1,,True,922,226,1148,0,158
T09-r1-sage_single,T09,memory,sage_single,1,True,True,4.561814610031433,1,,True,922,268,1190,0,200
