run_id,task_id,family,condition,trial,success,score,wall_seconds,api_seconds_sum,calls,accounting_complete,reason,started_at,finished_at,input_tokens,output_tokens,total_tokens,cached_input_tokens,reasoning_tokens
T10-r1-hierarchical,T10,memory,hierarchical,1,True,1.0,7.145811769994907,10.220279143075459,4,True,exact_match,2026-09-13T13:09:45.861243+00:00,2026-09-13T13:09:53.007031+00:00,4217,547,4764,0,342
T10-r1-sequential,T10,memory,sequential,1,True,1.0,11.740612961002626,11.738488939008676,3,True,exact_match,2026-09-13T13:09:53.011502+00:00,2026-09-13T13:10:04.752010+00:00,3035,651,3686,0,540
T10-r1-reflexive,T10,memory,reflexive,1,True,1.0,4.655356809962541,4.653829792980105,2,True,exact_match,2026-09-13T13:10:04.756732+00:00,2026-09-13T13:10:09.411963+00:00,2033,283,2316,0,229
T10-r1-single,T10,memory,single,1,True,1.0,2.513639627955854,2.512480431003496,1,True,exact_match,2026-09-13T13:10:09.416441+00:00,2026-09-13T13:10:11.929559+00:00,978,163,1141,0,126
T10-r1-parallel,T10,memory,parallel,1,True,1.0,5.641550032072701,7.620744296815246,3,True,exact_match,2026-09-13T13:10:11.933553+00:00,2026-09-13T13:10:17.574641+00:00,3050,602,3652,0,491
T10-r1-hierarchical_all_skills,T10,memory,hierarchical_all_skills,1,True,1.0,7.910204302053899,10.874766111955978,4,True,exact_match,2026-09-13T13:10:17.579433+00:00,2026-09-13T13:10:25.489477+00:00,8271,549,8820,0,347
T11-r2-hierarchical_all_skills,T11,sql,hierarchical_all_skills,2,False,0.0,10.707645202986896,16.305409956956282,4,True,invalid_sql_envelope,2026-09-13T13:10:25.494123+00:00,2026-09-13T13:10:36.201594+00:00,6722,1162,7884,0,462
T11-r2-single,T11,sql,single,2,False,0.0,3.2852887579938397,3.284566203947179,1,True,invalid_sql_envelope,2026-09-13T13:10:36.207941+00:00,2026-09-13T13:10:39.493116+00:00,509,323,832,0,118
T11-r2-hierarchical,T11,sql,hierarchical,2,False,0.0,10.723004692001268,14.429516514064744,4,True,invalid_sql_envelope,2026-09-13T13:10:39.497519+00:00,2026-09-13T13:10:50.220437+00:00,2732,1050,3782,0,270
T11-r2-sequential,T11,sql,sequential,2,False,0.0,10.746512235957198,10.744070442975499,3,True,invalid_sql_envelope,2026-09-13T13:10:50.224802+00:00,2026-09-13T13:11:00.971233+00:00,1960,782,2742,0,175
T11-r2-reflexive,T11,sql,reflexive,2,False,0.0,5.23271935491357,5.231349270208739,2,True,invalid_sql_envelope,2026-09-13T13:11:00.975405+00:00,2026-09-13T13:11:06.208045+00:00,1299,399,1698,0,141
T11-r2-parallel,T11,sql,parallel,2,False,0.0,7.383460487937555,12.024970981059596,3,True,invalid_sql_envelope,2026-09-13T13:11:06.212624+00:00,2026-09-13T13:11:13.595645+00:00,2010,1101,3111,0,460
T03-r2-hierarchical,T03,schedule,hierarchical,2,True,1.0,11.693379470030777,17.12658815702889,4,True,exact_match,2026-09-13T13:11:13.600447+00:00,2026-09-13T13:11:25.293748+00:00,2645,1111,3756,0,937
T03-r2-sequential,T03,schedule,sequential,2,True,1.0,18.530230221920647,18.527150714071468,3,True,exact_match,2026-09-13T13:11:25.299891+00:00,2026-09-13T13:11:43.830099+00:00,1848,1424,3272,0,1346
T03-r2-parallel,T03,schedule,parallel,2,True,1.0,6.580155045026913,9.621811516117305,3,True,exact_match,2026-09-13T13:11:43.837592+00:00,2026-09-13T13:11:50.416619+00:00,1863,1025,2888,0,947
T03-r2-single,T03,schedule,single,2,True,1.0,3.867902762023732,3.8670204479712993,1,True,exact_match,2026-09-13T13:11:50.421040+00:00,2026-09-13T13:11:54.288886+00:00,589,346,935,0,320
T03-r2-hierarchical_all_skills,T03,schedule,hierarchical_all_skills,2,True,1.0,12.354043093975633,19.07257111510262,4,True,exact_match,2026-09-13T13:11:54.293501+00:00,2026-09-13T13:12:06.647357+00:00,6731,1416,8147,0,1223
T03-r2-reflexive,T03,schedule,reflexive,2,True,1.0,16.196901125018485,16.193826159927994,4,True,exact_match,2026-09-13T13:12:06.652152+00:00,2026-09-13T13:12:22.848959+00:00,2593,1491,4084,0,1345
T05-r1-single,T05,dependencies,single,1,True,1.0,3.00752718700096,3.0066124900477007,1,True,exact_match,2026-09-13T13:12:22.853886+00:00,2026-09-13T13:12:25.861356+00:00,608,251,859,0,172
T05-r1-hierarchical_all_skills,T05,dependencies,hierarchical_all_skills,1,True,1.0,6.699314065976068,10.096587740117684,4,True,exact_match,2026-09-13T13:12:25.865699+00:00,2026-09-13T13:12:32.564857+00:00,6879,679,7558,0,362
T05-r1-sequential,T05,dependencies,sequential,1,True,1.0,10.548151678056456,10.545724406954832,3,True,exact_match,2026-09-13T13:12:32.569376+00:00,2026-09-13T13:12:43.117402+00:00,2011,671,2682,0,434
T05-r1-reflexive,T05,dependencies,reflexive,1,True,1.0,5.208324386971071,5.206776054110378,2,True,exact_match,2026-09-13T13:12:43.122426+00:00,2026-09-13T13:12:48.330708+00:00,1335,461,1796,0,365
T05-r1-hierarchical,T05,dependencies,hierarchical,1,True,1.0,8.67096187605057,12.76522311498411,4,True,exact_match,2026-09-13T13:12:48.335290+00:00,2026-09-13T13:12:57.006177+00:00,2783,855,3638,0,544
T05-r1-parallel,T05,dependencies,parallel,1,True,1.0,5.599415889009833,8.426327966037206,3,True,exact_match,2026-09-13T13:12:57.010790+00:00,2026-09-13T13:13:02.609877+00:00,2026,748,2774,0,511
T06-r2-parallel,T06,dependencies,parallel,2,True,1.0,4.896153376088478,7.39633031107951,3,True,exact_match,2026-09-13T13:13:02.615486+00:00,2026-09-13T13:13:07.510533+00:00,2034,670,2704,0,439
T06-r2-hierarchical_all_skills,T06,dependencies,hierarchical_all_skills,2,True,1.0,7.620893098996021,11.319641857058741,4,True,exact_match,2026-09-13T13:13:07.515223+00:00,2026-09-13T13:13:15.135524+00:00,6875,764,7639,0,457
T06-r2-hierarchical,T06,dependencies,hierarchical,2,True,1.0,6.613443002104759,9.698684658040293,4,True,exact_match,2026-09-13T13:13:15.140394+00:00,2026-09-13T13:13:21.753749+00:00,2829,624,3453,0,304
T06-r2-sequential,T06,dependencies,sequential,2,True,1.0,8.656586579978466,8.653983679949306,3,True,exact_match,2026-09-13T13:13:21.758422+00:00,2026-09-13T13:13:30.414901+00:00,2077,613,2690,0,325
T06-r2-reflexive,T06,dependencies,reflexive,2,True,1.0,5.0477962320437655,5.045775853912346,2,True,exact_match,2026-09-13T13:13:30.419788+00:00,2026-09-13T13:13:35.467546+00:00,1341,405,1746,0,311
T06-r2-single,T06,dependencies,single,2,True,1.0,2.3465849820058793,2.3457104100380093,1,True,exact_match,2026-09-13T13:13:35.471721+00:00,2026-09-13T13:13:37.818229+00:00,612,208,820,0,131
T04-r2-parallel,T04,schedule,parallel,2,True,1.0,6.669261042959988,10.621462740935385,3,True,exact_match,2026-09-13T13:13:37.822512+00:00,2026-09-13T13:13:44.491298+00:00,1863,1046,2909,0,968
T04-r2-single,T04,schedule,single,2,True,1.0,3.493020316003822,3.4919688570080325,1,True,exact_match,2026-09-13T13:13:44.496218+00:00,2026-09-13T13:13:47.989185+00:00,589,371,960,0,345
T04-r2-reflexive,T04,schedule,reflexive,2,True,1.0,17.19214967393782,17.18942350591533,4,True,exact_match,2026-09-13T13:13:47.994714+00:00,2026-09-13T13:14:05.186793+00:00,2592,1499,4091,0,1354
T04-r2-sequential,T04,schedule,sequential,2,True,1.0,13.475435583968647,13.472967495094053,3,True,exact_match,2026-09-13T13:14:05.191185+00:00,2026-09-13T13:14:18.666492+00:00,1848,1074,2922,0,996
T04-r2-hierarchical_all_skills,T04,schedule,hierarchical_all_skills,2,True,1.0,11.045060755917802,15.793165425071493,4,True,exact_match,2026-09-13T13:14:18.676436+00:00,2026-09-13T13:14:29.721274+00:00,6719,1264,7983,0,1077
